parent;child;name_en;name_nl
;1;Statistics Taxonomy;Statistische Taxonomie
1;2;Measurement Level;Meetschaalniveau
2;3;Nominal;Nominaal
2;4;Ordinal;Ordinaal
2;5;Interval;Interval
2;6;Ratio;Ratio
1;7;Variable type;Variabele type
7;8;Discrete variable;Discrete variabele
7;9;Continuous variable;Continue variabele
1;10;Descriptive statistics;Beschrijvende statistiek
10;11;Summary Statistics;Samenvattende statistieken
11;12;Measures of Location;Maat van centrale tendentie
12;13;Mean;Gemiddelde
12;14;Median;Mediaan
12;15;Mode;Modus
10;16;Measures of Spread;Spreidingsmaten
16;17;Range;Bereik
16;18;Standard Deviation;Standaarddeviatie
16;19;Variance;Variantie
16;20;Interquartile Range;Interkwartielafstand
10;21;Bivariate statistics;Bivariate statistiek
21;22;Correlation;Correlatie
21;23;Covariance;Covariantie
11;24;Outliers;Uitschieters
11;25;Odds ratio;Kansverhouding
11;26;Proportion;Proportie
11;27;Conditional proportion;Voorwaardelijke proportie
10;28;Score interpretation;Interpretatie van scores
28;29;z-score;z-score
28;30;Percentile;Percentiel
10;31;Data representation;Gegevensrepresentatie
31;32;Graphs;Grafieken
32;33;Histogram;Histogram
32;34;Bar graph;Staafdiagram
32;35;Boxplot;Boxplot
32;36;Scatterplot;Spreidingsdiagram
32;37;Pie chart;Cirkeldiagram
32;38;Venn diagram;Venndiagram
32;39;Stem and leaf plot;Steel-en-bladdiagram
31;40;Tables;Tabellen
40;41;Frequency table;Frequentietabel
40;42;Contingency table;Contingentietabel
1;43;Inferential Statistics;Inferentiële Statistiek
43;44;Sampling Distributions;Steekproevenverdelingen
44;45;Sample mean;Steekproefgemiddelde
44;46;Sample proportion;Steekproefproportie
44;47;Difference two means;Verschil tussen twee gemiddelden
44;48;Correlation;Correlatie
43;49;NHST;Nulhypothesetoetsing (NHST)
49;50;Hypothesis;Hypothese
50;51;Null hypothesis;Nulhypothese
50;52;Alternative hypothesis;Alternatieve hypothese
50;53;One sided hypothesis;Eenzijdige hypothese
50;54;Two sided hypothesis;Twee-zijdige hypothese
49;55;Test statistic;Toetsingsgrootheid
55;56;t-statistic;t-toets
55;57;F-statistic;F-toets
55;58;Chi-squared;Chi-kwadraat
55;59;z-statistic;z-toets
49;60;Statistical errors;Statistische fouten
60;61;Type I error;Type I fout
60;62;Type II error;Type II fout
49;63;Power;Power
49;64;Significance level;Significantieniveau
64;65;Critical value;Kritieke waarde
49;66;p-value;p-waarde
43;67;Effect size;Effectgrootte
67;68;Cohen's d;Cohen's d
67;69;Cramer's V;Cramer's V
67;70;Phi coefficient;Phi-co‘ffici‘nt
67;71;Eta squared;Eta kwadraat
67;72;Omega squared;Omega kwadraat
43;73;Confidence Intervals;Betrouwbaarheidsintervallen
73;74;Confidence level;Betrouwbaarheidsniveau
73;75;Testing;Toetsing
73;76;Width;Breedte
73;77;Margin of error;Foutmarge
43;78;Parametric Techniques;Parametrische technieken
78;79;z-test;z-toets
79;80;One sample mean;Eén steekproefgemiddelde
79;81;Independent samples means;Onafhankelijke steekproefgemiddelden
79;82;One proportion;Eén proportie
79;83;Two proportions;Twee proporties
78;84;t-test;t-toets
84;85;One sample mean;Eén steekproefgemiddelde
84;86;Independent samples means;Onafhankelijke steekproefgemiddelden
84;87;Paired samples;Gepaard steekproeven
84;88;Test for correlation;Correlatietoets
78;89;Correlations;Correlaties
89;90;Pearson;Pearson
89;91;Spearman;Spearman
89;92;Point biserial;Punt-biserieel
89;93;Biserial;Biserieel
89;94;Phi;Phi
78;95;Cross tables;Kruistabellen
95;96;Chi-Squared for Independence;Chi-kwadraat voor onafhankelijkheid
95;97;Chi-Squared for Homogeneity;Chi-kwadraat voor homogeniteit
95;98;Chi-Squared Goodness of Fit;Chi-kwadraat voor passendheid
95;99;Fisher's Exact Test;Fisher's exacte toets
78;100;ANOVA;ANOVA
100;101;Oneway ANOVA;Eenweg ANOVA
100;102;Twoway ANOVA;Tweeweg ANOVA
100;103;Oneway repeated measures ANOVA;Eenweg herhaalde metingen ANOVA
100;104;Twoway repeated measures ANOVA;Tweeweg herhaalde metingen ANOVA
100;105;Mixed design ANOVA;Gemengd ontwerp ANOVA
100;106;ANCOVA;ANCOVA
100;107;MANOVA;MANOVA
100;108;MANCOVA;MANCOVA
100;109;ANOVA F-test;ANOVA F-toets
100;110;Post-hoc test;Post-hoc toets
78;111;Variance;Variantie
111;112;One variance;Eén variantie
111;113;Two variances;Twee varianties
43;114;Regression;Regressie
114;115;Simple linear regression;Eenvoudige lineaire regressie
114;116;Equation;Vergelijking
114;117;Slope;Hellingshoek
